"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"AA^","Alcoa Inc.","89.9","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^"
"AAMC","Altisource Asset Management Corp","203.36","$445.33M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc"
"AAU","Almaden Minerals, Ltd.","1.05","$76.81M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau"
"ACU","Acme United Corporation.","18.81","$61.87M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu"
"ACY","AeroCentury Corp.","12.188","$18.81M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy"
"ADGE","American DG Energy Inc.","0.45","$23.61M","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge"
"ADK","Adcare Health Systems Inc","4.3206","$83.05M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk"
"ADK^A","Adcare Health Systems Inc","28.9273","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a"
"AE","Adams Resources & Energy, Inc.","67.99","$286.75M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae"
"AIII","ACRE Realty Investors, Inc.","1.65","$29.4M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii"
"AINC","Ashford Inc.","121.8","$243.6M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc"
"AIRI","Air Industries Group","9.99","$70.93M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi"
"AKG","Asanko Gold Inc.","1.43","$281.49M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg"
"ALN","American Lorain Corporation","1.36","$47.49M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln"
"ALTV","Alteva (D/B/A)","7.45","$44.52M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv"
"AMCO","Armco Metals Holdings, Inc.","1.3","$7.28M","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco"
"AMPE","Ampio Pharmaceuticals, Inc.","5.86","$304.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe"
"AMS","American Shared Hospital Services","2.42","$12.97M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams"
"AMZG","American Eagle Energy Corporation.","0.1996","$6.08M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/amzg"
"ANV","Allied Nevada Gold Corp.","0.8676","$109.3M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv"
"API","Advanced Photonix, Inc.","0.405","$15.14M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api"
"APP","American Apparel Inc","0.8451","$147.71M","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/app"
"APT","Alpha Pro Tech, Ltd.","2.85","$52.15M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt"
"APTS","Preferred Apartment Communities, Inc.","10.25","$203.62M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/apts"
"ASB/WS","Associated Banc-Corp","2.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb/ws"
"ASM","Avino Silver","1.43","$50.82M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm"
"AST","Asterias Biotherapeutics, Inc.","4.85","$149.88M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast"
"ATL","Atlatsa Resources Corporation","0.1663","$92.18M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl"
"ATNM","Actinium Pharmaceuticals, Inc.","3.04","$107.48M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm"
"AUMN","Golden Minerals Company","0.4666","$24.74M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn"
"AVL","Avalon Rare Metals, Inc.","0.2895","$40.75M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl"
"AWX","Avalon Holdings Corporation","3.1","$11.79M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx"
"AXN","Aoxing Pharmaceutical Company, Inc.","1.12","$76.13M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn"
"AXU","Alexco Resource Corp","0.4099","$28.52M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu"
"AXX","Alderon Iron Ore Corp.","0.23","$30.39M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx"
"BAA","BANRO CORPORATION","0.22","$55.46M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa"
"BCV","Bancroft Fund Limited","20.79","$108.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv"
"BDL","Flanigan&#39;s Enterprises, Inc.","33.74","$62.71M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl"
"BDR","Blonder Tongue Laboratories, Inc.","1.77","$11.03M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr"
